category,brand,product_name,product_description,main_image,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,gtin_type,gtin_code,property_name_1,property_value_1,property_1_image,property_1_image_2,property_1_image_3,property_1_image_4,property_1_image_5,property_1_image_6,property_1_image_7,property_1_image_8,property_1_image_9,property_name_2,property_value_2,parcel_weight,parcel_length,parcel_width,parcel_height,delivery,price,list_price,warehouse_quantity/7630956870513428238,warehouse_quantity/7631694452735461134,warehouse_quantity/7631698454188787469,warehouse_quantity/7631699412083492621,seller_sku,size_chart,special_product_listing_type,auction_starting_price,product_property/100198,product_property/100392,product_property/100398,product_property/100443,product_property/100548,product_property/100628,product_property/100701,product_property/100779,product_property/100875,product_property/100903,product_property/101619,product_property/102417,product_property/101395,product_property/101398,product_property/101400,product_property/101397,product_property/101610,product_property/100216,product_property/101611,product_property/101614,product_property/101623,product_property/101624,product_property/101625,qualification/1729439947062478079,qualification/1729439947134305535,qualification/1729439947134502143,qualification/8647636475739801353,aimed_product_status
V5.0.2,create_product,imperial,category_v2,021781379127994fdbdfdbdfdbdfdbd000000000000027cf5c7c9,normal_file,"TikTok Shop (0)"
Category,Brand,"Product name","Product description","Main image","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Product Image 8","Product Image 9","Identifier Code Type","Identifier Code","Primary variation name (theme)","Primary variation value (option)","Primary variation image 1","Primary variation image 2","Primary variation image 3","Primary variation image 4","Primary variation image 5","Primary variation image 6","Primary variation image 7","Primary variation image 8","Primary variation image 9","Secondary variation name (theme)","Secondary variation value (option)","Package weight(lb)","Package length(inch)","Package width(inch)","Package height(inch)","Delivery options","Retail Price (Local Currency)","List price (Local currency)","Quantity in Noblesville Warehouse","Quantity in Cranbury Warehouse","Quantity in Houston Warehouse","Quantity in Bordentown Warehouse","Seller SKU","Size Chart","Auction product","Starting bid",Pattern,Occasion,Style,Feature,Shape,Scent,Material,Setting,Use,Installment,"Dangerous Goods Or Hazardous Materials","Environmental Feature","CA Prop 65: Repro. Chems","Reprotoxic Chemicals","CA Prop 65: Carcinogens",Carcinogen,"Contains Batteries or Cells?","Battery Type","How Batteries Are Packed","Battery Or Cell Weight In Grams","Number Of Batteries Or Cells","Battery Or Cell Capacity In Wh","Battery Or Cell Capacity In Grams","Safety Data Sheet (SDS) for flammable materials","UN38.3 Test Summary or Safety Data Sheet (SDS) for products with batteries","Safety Data Sheet (SDS) for aerosol products","Safety Data Sheet (SDS) for other dangerous goods or hazardous materials","Product Status"
Mandatory,Optional,Mandatory,Mandatory,Mandatory,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,"Conditionally mandatory","Conditionally mandatory",Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,"Conditionally mandatory",Optional,Mandatory,"Conditionally mandatory","Conditionally mandatory","Conditionally mandatory",Optional,Mandatory,Optional,"Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory",Optional,"Conditionally mandatory",Optional,Optional,"Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory","Conditionally mandatory",Optional
"Home Organizers/Storage Boxes & Bins/Storage Bins with Lids",Unbranded,"Elevated Portable Dog Cot Pet Bed With UV Protection Canopy Shade, 30 Inch, Dark Blue - Blue","- Elevated Airflow: An elevated dog bed frame, cot-style design lifts your pet more than 7 inches off of the ground which allows air to flow freely on all sides and underneath. - Breathable Fabric: The outdoor dog bed's mesh fabric adds breathability to help keep your pet cool, which is especially important during those hot summer months. - Quality Design: The mesh fabric is held tightly in place by a lightweight yet strong powder-coated steel frame with four stable feet that ensure level placement that won't tip over. This elevated dog bed is suitable for medium dogs less than 19.7"" in length and under 44 lbs in weight. - Canopy Top: An included canopy top provides shade to your pet and shields them from the sun on hot summer days. A simple design means all you have to do is plug the canopy into the corners of the dog cot and secure it with the bungee cords. - Portable Style: With a lightweight, portable design and included travel bag for simple storage, it's easy to take the raised dog bed with canopy anywhere you go.",https://cf.cjdropshipping.com/17679168/05e2f3e6-a1e0-42b3-a9f5-fb6839bf50ee.jpg,https://cf.cjdropshipping.com/17679168/3f2f1232-0943-46aa-903d-783d08cbb40c.jpg,https://cf.cjdropshipping.com/17679168/55942ab8-ffe5-4b10-9117-c90ed10ce5fa.jpg,https://cf.cjdropshipping.com/17679168/075a6513-6818-47e6-b631-867916fb614c.jpg,,,,,,,,Color,Blue,,,,,,,,,,,,4.85,10.00,8.00,2.00,Default,50.48,,100,,,,CJFU27213460001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
