id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,mpn,gtin,google_product_category,product_type,item_group_id,color,size,material,inventory,shipping
CJFU27213460001,"Elevated Portable Dog Cot Pet Bed With UV Protection Canopy Shade, 30 Inch, Dark Blue - Blue","- Elevated Airflow: An elevated dog bed frame, cot-style design lifts your pet more than 7 inches off of the ground which allows air to flow freely on all sides and underneath. - Breathable Fabric: The outdoor dog bed's mesh fabric adds breathability to help keep your pet cool, which is especially important during those hot summer months. - Quality Design: The mesh fabric is held tightly in place by a lightweight yet strong powder-coated steel frame with four stable feet that ensure level placement that won't tip over. This elevated dog bed is suitable for medium dogs less than 19.7"" in length and under 44 lbs in weight. - Canopy Top: An included canopy top provides shade to your pet and shields them from the sun on hot summer days. A simple design means all you have to do is plug the canopy into the corners of the dog cot and secure it with the bungee cords. - Portable Style: With a lightweight, portable design and included travel bag for simple storage, it's easy to take the raised dog bed with canopy anywhere you go.","in stock",new,"50.48 USD",http://localhost/ebay/?page=listings&cj_pid=2009543586599702530,https://cf.cjdropshipping.com/17679168/05e2f3e6-a1e0-42b3-a9f5-fb6839bf50ee.jpg,"https://cf.cjdropshipping.com/17679168/3f2f1232-0943-46aa-903d-783d08cbb40c.jpg,https://cf.cjdropshipping.com/17679168/55942ab8-ffe5-4b10-9117-c90ed10ce5fa.jpg,https://cf.cjdropshipping.com/17679168/075a6513-6818-47e6-b631-867916fb614c.jpg",Unbranded,CJFU27213460001,,,"Home, Garden & Furniture / Home Storage / Furniture",2009543586599702530,Blue,,,100,"US:::0.00 USD"
CJFU27213350001,"Elevated Portable Dog Cot Pet Bed With UV Protection Canopy Shade, 36 Inch, Dark Blue - Blue","- Elevated Airflow: An elevated dog bed frame, cot-style design lifts your pet more than 7 inches off of the ground which allows air to flow freely on all sides and underneath. - Breathable Fabric: The outdoor dog bed's mesh fabric adds breathability to help keep your pet cool, which is especially important during those hot summer months. - Quality Design: The mesh fabric is held tightly in place by a lightweight yet strong powder-coated steel frame with four stable feet that ensure level placement that won't tip over. This elevated dog bed is suitable for large dogs less than 23.5"" in length and under 66 lbs in weight. - Canopy Top: An included canopy top provides shade to your pet and shields them from the sun on hot summer days. A simple design means all you have to do is plug the canopy into the corners of the dog cot and secure it with the bungee cords. - Portable Style: With a lightweight, portable design and included travel bag for simple storage, it's easy to take the raised dog bed with canopy anywhere you go.","in stock",new,"52.77 USD",http://localhost/ebay/?page=listings&cj_pid=2009543223639269377,https://cf.cjdropshipping.com/17679168/ab7dad69-0c5a-489f-b4a4-77b5d9d9f521.jpg,"https://cf.cjdropshipping.com/17679168/8f39e129-4f83-4832-9fd8-9d4054d62da6.jpg,https://cf.cjdropshipping.com/17679168/e511513c-0a8f-405b-8242-77f955b62a94.jpg,https://cf.cjdropshipping.com/17679168/924baff3-da55-44d4-939a-5fa4be1c6eef.jpg",Unbranded,CJFU27213350001,,,"Home, Garden & Furniture / Home Storage / Furniture",2009543223639269377,Blue,,,67,"US:::0.00 USD"
CJFU28978150001,"2-in-1 Bike Trailer & Pet Stroller For Dogs Up To 100lbs Foldable Pet Carrier Cart With Two 8   Front Caster & 20   Quick Release Air-Filled Wheels, Breathable Mesh And PVC Rain Cover, Dark Blue - Dark Blue","Specification Product Information Product Type :Single Box Product Product Name:2-in-1 Bike Trailer & Pet Stroller for Dogs up to 100lbs– Foldable Pet Carrier Cart with two 8'' Front Caster & 20'' Quick Release Air-Filled Wheels, Breathable Mesh and PVC Rain Cover, Dark Blue Main Color:Dark Blue Main Material:Steel Customize:Yes * The customized service is available with this product. You may contact the Seller for details. Product Dimensions Assembled Length (in.):46.00 Assembled Width (in.):27.00 Assembled Height (in.):44.00 Product Weight (lbs.):28.44 Package Size Length (in.):24.21 Width (in.):8.66 Height (in.):33.27 Weight (lbs.):32.28 Product Features 2-in-1 Pet Bike Trailer & Stroller Conversion: Designed for ultimate versatility, this dog bike trailer easily converts into a pet stroller with a foldable tow bar and removable front wheel. Perfect for biking, walking, jogging, or light hauling, it adapts to your active lifestyle while keeping your pet comfortable and secure. Smooth & Stable Ride on Multiple Terrains: Equipped with two 8'' swivel caster front wheel and 2 large 20'' air-filled rear tires, this pet stroller delivers shock absorption and smooth maneuverability on asphalt, concrete, boardwalks, brick paths, and more. Heavy-Duty Frame Supports up to 100 lbs: Built with a powder-coated metal frame for superior strength and stability, this large dog trailer supports pets up to 100 lbs. The premium 600D Oxford fabric is tear-resistant, sun-protective, and built to withstand daily outdoor use. Multi-Purpose Design: The cart features two mesh doors located on the front and rear side, to enter and exit from various directions, improved sunlight, and breathability. Front door includes zippered mesh screen layer plus a zipped sunroof for dog's head to pop out. The roll-up PVC rain cover shield your pet from wind and rain, making it ideal for changing weather conditions.Additionally, the crate has a accessory pockets located on the rear side for added storage.","in stock",new,"108.78 USD",http://localhost/ebay/?page=listings&cj_pid=2057016728968265730,https://cf.cjdropshipping.com/17792352/1bd5b2a5-3de2-46e1-a1bd-356213827aba.jpg,"https://cf.cjdropshipping.com/17792352/b980594a-74f5-4ba1-85c3-f4ece6f2cad4.jpg,https://cf.cjdropshipping.com/17792352/6d02e34f-8e3e-40d9-b676-a0af982bc6f5.jpg,https://cf.cjdropshipping.com/17792352/a667694e-f2f8-4c94-91c9-b9cb1eaf6284.jpg,https://cf.cjdropshipping.com/17792352/10a0569a-6132-4e4e-a08f-32225571f8a0.jpg",Unbranded,CJFU28978150001,,,"Home, Garden & Furniture / Home Storage / Furniture",2057016728968265730,"Dark Blue",,,49,"US:::0.00 USD"
